type,entry_time,entry_price,stop_loss,take_profit,orb_high,orb_low,orb_range,position_size,exit_time,exit_price,exit_reason,pnl,symbol,trade_duration,capital_after,cumulative_pnl,running_max,drawdown,symbol_name,category
SHORT,2025-06-05 19:10:00+00:00,594.3899146484375,597.905129296875,587.3598853515625,597.905029296875,594.3900146484375,3.5150146484375,16,2025-06-05 20:40:00+00:00,587.3598853515625,TAKE_PROFIT,112.48046875,SPY,90.0,10037.114693750002,37.11469375000161,37.12109375,-0.0063999999983934686,S&P 500 ETF,stocks
SHORT,2025-06-05 19:20:00+00:00,208.0499030517578,211.4000938964844,201.34992136230463,211.3999938964844,208.0500030517578,3.349990844726591,29,2025-06-05 20:40:00+00:00,201.34992136230463,TAKE_PROFIT,194.29946899414227,AMZN,80.0,10095.824931445313,95.82493144531247,95.82493144531247,0.0,Amazon,stocks
LONG,2025-06-05 20:45:00+00:00,467.3600853515625,464.2899085449219,473.5000389648437,467.3599853515625,464.2900085449219,3.069976806640625,21,2025-06-05 20:50:00+00:00,464.2899085449219,STOP_LOSS,-64.47371293945207,MSFT,5.0,9826.95080942383,-173.0491905761687,-44.10176469726457,-128.94742587890414,Microsoft,stocks
SHORT,2025-06-05 23:55:00+00:00,208.0499030517578,211.4000938964844,201.34992136230463,211.3999938964844,208.0500030517578,3.349990844726591,30,2025-06-06 13:50:00+00:00,211.4000938964844,STOP_LOSS,-100.50572534179793,AMZN,835.0,9995.319206103515,-4.680793896485454,95.82493144531247,-100.50572534179793,Amazon,stocks
LONG,2025-06-06 13:50:00+00:00,471.65009389648435,469.1299048828125,476.6900719238281,471.6499938964844,469.1300048828125,2.519989013671875,20,2025-06-06 16:55:00+00:00,469.1299048828125,STOP_LOSS,-50.403780273436496,MSFT,185.0,9776.547029150393,-223.4529708496052,-44.10176469726457,-179.35120615234064,Microsoft,stocks
LONG,2025-06-06 13:55:00+00:00,172.1200951171875,170.94989694824218,174.46009145507813,172.1199951171875,170.9499969482422,1.1699981689453125,58,2025-06-06 18:20:00+00:00,174.46009145507813,TAKE_PROFIT,135.71978759765625,GOOGL,265.0,10151.038299951171,151.0382999511707,151.0382999511707,0.0,Google,stocks
SHORT,2025-06-06 13:55:00+00:00,308.239890234375,309.1401146484375,306.43984140625,309.1400146484375,308.239990234375,0.9000244140625,32,2025-06-06 14:15:00+00:00,306.43984140625,TAKE_PROFIT,57.6015625,GLD,20.0,10169.6015625,169.6015625,169.6015625,0.0,Gold ETF,commodities
SHORT,2025-06-06 14:25:00+00:00,295.823386328125,302.5500877929687,282.3703833984375,302.54998779296875,295.823486328125,6.72650146484375,15,2025-06-06 14:55:00+00:00,302.5500877929687,STOP_LOSS,-100.9005219726555,TSLA,30.0,10094.138052246095,94.1380522460945,195.03857421875,-100.9005219726555,Tesla,stocks
LONG,2025-06-06 14:55:00+00:00,302.5500877929687,295.823386328125,316.0030907226562,302.54998779296875,295.823486328125,6.72650146484375,15,2025-06-06 19:45:00+00:00,295.823386328125,STOP_LOSS,-100.9005219726555,TSLA,290.0,9993.23753027344,-6.762469726560994,195.03857421875,-201.801043945311,Tesla,stocks
SHORT,2025-06-06 15:15:00+00:00,598.4098731445313,600.8301170898437,593.5697852539063,600.8300170898438,598.4099731445312,2.4200439453125,16,2025-06-06 20:55:00+00:00,593.5697852539063,TAKE_PROFIT,77.44140625,SPY,340.0,10114.556100000002,114.5561000000016,114.5561000000016,0.0,S&P 500 ETF,stocks
SHORT,2025-06-06 16:05:00+00:00,202.98299326171875,205.7000969482422,197.54918588867187,205.6999969482422,202.98309326171875,2.7169036865234375,35,2025-06-06 20:35:00+00:00,205.7000969482422,STOP_LOSS,-95.09862902832054,AAPL,270.0,9494.426205541988,-505.57379445801354,-98.01377272949247,-407.56002172852106,Apple,stocks
SHORT,2025-06-06 16:40:00+00:00,529.2998877929688,531.6200951171875,524.6598731445313,531.6199951171875,529.2999877929688,2.32000732421875,18,2025-06-06 18:20:00+00:00,531.6200951171875,STOP_LOSS,-41.763731835936596,QQQ,100.0,9957.145512109375,-42.854487890621385,-1.090756054684789,-41.763731835936596,Nasdaq ETF,stocks
SHORT,2025-06-06 19:45:00+00:00,295.823386328125,302.5500877929687,282.3703833984375,302.54998779296875,295.823486328125,6.72650146484375,14,2025-06-06 20:55:00+00:00,302.5500877929687,STOP_LOSS,-94.1738205078118,TSLA,70.0,9899.063709765629,-100.93629023437279,195.03857421875,-295.9748644531228,Tesla,stocks
SHORT,2025-06-06 21:00:00+00:00,598.4098731445313,600.8301170898437,593.5697852539063,600.8300170898438,598.4099731445312,2.4200439453125,16,2025-06-06 21:05:00+00:00,593.5697852539063,TAKE_PROFIT,77.44140625,SPY,5.0,10191.997506250002,191.9975062500016,191.9975062500016,0.0,S&P 500 ETF,stocks
LONG,2025-06-06 23:55:00+00:00,213.7000969482422,210.4999,220.10009084472657,213.6999969482422,210.5,3.1999969482421875,31,2025-06-09 20:50:00+00:00,210.4999,STOP_LOSS,-99.20610539550802,AMZN,4135.0,9896.113100708008,-103.88689929199347,95.82493144531247,-199.71183073730595,Amazon,stocks
LONG,2025-06-09 14:00:00+00:00,305.9401024414062,305.0598975585937,307.70011220703134,305.94000244140625,305.0599975585937,0.8800048828125568,33,2025-06-10 13:50:00+00:00,307.70011220703134,TAKE_PROFIT,58.08032226562875,GLD,1430.0,10227.681884765629,227.68188476562875,227.68188476562875,0.0,Gold ETF,commodities
LONG,2025-06-09 14:00:00+00:00,292.8551109863281,281.84990610351565,314.8651207519531,292.8550109863281,281.8500061035156,11.0050048828125,8,2025-06-09 20:50:00+00:00,314.8651207519531,TAKE_PROFIT,176.080078125,TSLA,410.0,10075.143787890629,75.14378789062721,195.03857421875,-119.89478632812279,Tesla,stocks
LONG,2025-06-09 14:05:00+00:00,530.5500877929687,529.009909765625,533.6300438476562,530.5499877929688,529.010009765625,1.53997802734375,18,2025-06-09 21:10:00+00:00,533.6300438476562,TAKE_PROFIT,55.439208984375,QQQ,425.0,10012.58472109375,12.584721093753615,12.584721093753615,0.0,Nasdaq ETF,stocks
LONG,2025-06-09 14:05:00+00:00,175.860207421875,174.3698951171875,178.84043203125,175.860107421875,174.3699951171875,1.4901123046875,57,2025-06-09 20:45:00+00:00,174.3698951171875,STOP_LOSS,-84.94780136718788,GOOGL,400.0,10066.090498583982,66.09049858398282,151.0382999511707,-84.94780136718788,Google,stocks
LONG,2025-06-09 14:10:00+00:00,205.55010305175782,203.97989572753903,208.69011770019537,205.5500030517578,203.97999572753903,1.5700073242187784,46,2025-06-09 16:15:00+00:00,203.97989572753903,STOP_LOSS,-72.22953691406411,AAPL,125.0,9422.196668627923,-577.8033313720777,-98.01377272949247,-479.7895586425852,Apple,stocks
LONG,2025-06-09 14:30:00+00:00,599.990090234375,598.4999,602.970070703125,599.989990234375,598.5,1.489990234375,16,2025-06-09 20:55:00+00:00,598.4999,STOP_LOSS,-23.843043749999197,SPY,385.0,10168.154462500002,168.1544625000024,191.9975062500016,-23.843043749999197,S&P 500 ETF,stocks
SHORT,2025-06-09 16:15:00+00:00,203.97989572753903,205.55010305175782,200.83988107910147,205.5500030517578,203.97999572753903,1.5700073242187784,46,2025-06-09 17:15:00+00:00,200.83988107910147,TAKE_PROFIT,144.44067382812761,AAPL,60.0,9566.63734245605,-433.36265754395004,-98.01377272949247,-335.34888481445756,Apple,stocks
LONG,2025-06-09 16:30:00+00:00,471.2251061035156,468.6198951171875,476.43512807617185,471.2250061035156,468.6199951171875,2.605010986328125,20,2025-06-09 20:35:00+00:00,468.6198951171875,STOP_LOSS,-52.104219726561496,MSFT,245.0,9724.442809423832,-275.5571905761667,-44.10176469726457,-231.45542587890213,Microsoft,stocks
LONG,2025-06-09 20:35:00+00:00,471.2251061035156,468.6198951171875,476.43512807617185,471.2250061035156,468.6199951171875,2.605010986328125,20,2025-06-09 20:55:00+00:00,468.6198951171875,STOP_LOSS,-52.104219726561496,MSFT,20.0,9672.33858969727,-327.6614103027282,-44.10176469726457,-283.55964560546363,Microsoft,stocks
SHORT,2025-06-09 21:05:00+00:00,468.6198951171875,471.2251061035156,463.4098731445313,471.2250061035156,468.6199951171875,2.605010986328125,20,2025-06-09 21:10:00+00:00,471.2251061035156,STOP_LOSS,-52.104219726561496,MSFT,5.0,9620.234369970709,-379.7656300292897,-44.10176469726457,-335.6638653320251,Microsoft,stocks
LONG,2025-06-09 21:20:00+00:00,530.5500877929687,529.009909765625,533.6300438476562,530.5499877929688,529.010009765625,1.53997802734375,18,2025-06-10 15:30:00+00:00,529.009909765625,STOP_LOSS,-27.723204492186596,QQQ,1090.0,9984.861516601562,-15.138483398432982,12.584721093753615,-27.723204492186596,Nasdaq ETF,stocks
LONG,2025-06-09 22:00:00+00:00,599.990090234375,598.4999,602.970070703125,599.989990234375,598.5,1.489990234375,16,2025-06-10 19:00:00+00:00,602.970070703125,TAKE_PROFIT,47.6796875,SPY,1260.0,10215.834150000002,215.8341500000024,215.8341500000024,0.0,S&P 500 ETF,stocks
SHORT,2025-06-10 13:50:00+00:00,216.22890390625,217.57010732421875,213.5468970703125,217.57000732421875,216.22900390625,1.34100341796875,45,2025-06-10 19:55:00+00:00,217.57010732421875,STOP_LOSS,-60.35415380859405,AMZN,365.0,9835.758946899414,-164.24105310058752,95.82493144531247,-260.0659845459,Amazon,stocks
SHORT,2025-06-10 14:00:00+00:00,307.985495703125,308.6001061035156,306.7566749023438,308.6000061035156,307.985595703125,0.614410400390625,33,2025-06-10 14:50:00+00:00,306.7566749023438,TAKE_PROFIT,40.55108642578125,GLD,50.0,10268.23297119141,268.23297119141,268.23297119141,0.0,Gold ETF,commodities
LONG,2025-06-10 14:00:00+00:00,315.8400963378906,310.6668921875,326.18610463867185,315.8399963378906,310.6669921875,5.173004150390625,19,2025-06-10 19:30:00+00:00,326.18610463867185,TAKE_PROFIT,196.57415771484375,TSLA,330.0,10271.717945605473,271.71794560547096,271.71794560547096,0.0,Tesla,stocks
LONG,2025-06-10 14:10:00+00:00,179.66010366210938,175.84990610351562,187.28009877929688,179.66000366210938,175.85000610351562,3.80999755859375,26,2025-06-10 19:15:00+00:00,175.84990610351562,STOP_LOSS,-99.06513652343767,GOOGL,305.0,9967.025362060545,-32.97463793945485,151.0382999511707,-184.01293789062555,Google,stocks
LONG,2025-06-10 14:30:00+00:00,203.1500938964844,200.56990732421875,208.3100670410157,203.1499938964844,200.57000732421875,2.5799865722656534,37,2025-06-10 20:45:00+00:00,208.3100670410157,TAKE_PROFIT,190.91900634765835,AAPL,375.0,9757.556348803708,-242.44365119629168,-98.01377272949247,-144.4298784667992,Apple,stocks
SHORT,2025-06-10 15:30:00+00:00,468.33000864257815,472.8000877929688,459.3902503417968,472.7999877929688,468.3301086425781,4.469879150390682,20,2025-06-10 21:00:00+00:00,459.3902503417968,TAKE_PROFIT,178.79516601562727,MSFT,330.0,9799.029535986336,-200.97046401366242,-44.10176469726457,-156.86869931639785,Microsoft,stocks
SHORT,2025-06-10 15:30:00+00:00,530.751120703125,532.3700951171875,527.513571875,532.3699951171875,530.751220703125,1.6187744140625,18,2025-06-10 16:00:00+00:00,532.3700951171875,STOP_LOSS,-29.141539453124096,QQQ,30.0,9955.719977148437,-44.28002285155708,12.584721093753615,-56.86474394531069,Nasdaq ETF,stocks
LONG,2025-06-10 16:00:00+00:00,532.3700951171875,530.751120703125,535.6076439453125,532.3699951171875,530.751220703125,1.6187744140625,18,2025-06-10 20:50:00+00:00,530.751120703125,STOP_LOSS,-29.141539453124096,QQQ,290.0,9926.578437695312,-73.42156230468117,12.584721093753615,-86.00628339843479,Nasdaq ETF,stocks
LONG,2025-06-10 20:00:00+00:00,217.57010732421875,216.22890390625,220.25211416015625,217.57000732421875,216.22900390625,1.34100341796875,45,2025-06-10 20:45:00+00:00,216.22890390625,STOP_LOSS,-60.35415380859405,AMZN,45.0,9775.40479309082,-224.59520690918157,95.82493144531247,-320.42013835449404,Amazon,stocks
LONG,2025-06-10 23:15:00+00:00,217.57010732421875,216.22890390625,220.25211416015625,217.57000732421875,216.22900390625,1.34100341796875,44,2025-06-11 16:00:00+00:00,216.22890390625,STOP_LOSS,-59.01295039062529,AMZN,1005.0,9716.391842700195,-283.60815729980686,95.82493144531247,-379.43308874511933,Amazon,stocks
LONG,2025-06-11 13:50:00+00:00,472.885109765625,469.6548987792969,479.3451317382812,472.885009765625,469.6549987792969,3.230010986328125,20,2025-06-12 17:05:00+00:00,479.3451317382812,TAKE_PROFIT,129.200439453125,MSFT,1635.0,9928.22997543946,-71.77002456053742,-44.10176469726457,-27.66825986327285,Microsoft,stocks
LONG,2025-06-11 14:15:00+00:00,604.2501,602.2499,608.2501,604.25,602.25,2.0,16,2025-06-11 16:10:00+00:00,602.2499,STOP_LOSS,-32.0031999999992,SPY,115.0,10183.830950000003,183.8309500000032,215.8341500000024,-32.0031999999992,S&P 500 ETF,stocks
LONG,2025-06-11 14:20:00+00:00,535.8100975585937,533.1949073242188,541.0400780273437,535.8099975585938,533.1950073242188,2.614990234375,18,2025-06-11 16:20:00+00:00,533.1949073242188,STOP_LOSS,-47.073424218749096,QQQ,120.0,9879.505013476562,-120.49498652343027,12.584721093753615,-133.07970761718389,Nasdaq ETF,stocks
SHORT,2025-06-11 14:35:00+00:00,202.5049048828125,204.5001,198.5149146484375,204.5,202.5050048828125,1.9949951171875,48,2025-06-11 19:50:00+00:00,198.5149146484375,TAKE_PROFIT,191.51953125,AAPL,315.0,9949.075880053708,-50.92411994629168,-50.92411994629168,0.0,Apple,stocks
LONG,2025-06-11 14:40:00+00:00,307.7100914550781,306.5598975585937,310.01007924804696,307.7099914550781,306.5599975585937,1.1499938964844318,33,2025-06-11 17:05:00+00:00,306.5598975585937,STOP_LOSS,-37.956398583984594,GLD,145.0,10230.276572607425,230.2765726074254,268.23297119141,-37.956398583984594,Gold ETF,commodities
