symbol,name,category,interval,orb_duration,tp_multiplier,risk_per_trade,total_trades,win_rate,profit_factor,return_pct,max_drawdown,total_pnl
EURUSD=X,EUR/USD,forex,5m,5,1.0,0.02,95,0.7473684210526316,2.081041624349834,2.127095878450473,-42.81941060752963,212.70958784504975
GC=F,Gold,commodities,5m,5,1.0,0.02,67,0.6865671641791045,2.106271563306712,4.504890648437249,-47.10178593750243,450.4890648437249
GLD,Gold ETF,commodities,5m,5,1.0,0.02,82,0.6707317073170732,1.8173217769735663,4.748995413574558,-109.78536562499357,474.8995413574642
AAPL,Apple,stocks,5m,5,1.0,0.02,80,0.4625,0.7751756041150435,-7.913071463867364,-885.4409405761899,-791.30714638674
MSFT,Microsoft,stocks,5m,5,1.0,0.02,85,0.5882352941176471,1.3666592925554366,7.163950548828489,-408.2843187499932,716.3950548828502
GOOGL,Google,stocks,5m,5,1.0,0.02,82,0.4024390243902439,0.549749394699646,-20.384395337158267,-2552.2836971191496,-2038.4395337158305
AMZN,Amazon,stocks,5m,5,1.0,0.02,83,0.5180722891566265,1.063059711358008,2.054033176025132,-572.0734171386856,205.4033176025148
TSLA,Tesla,stocks,5m,5,1.0,0.02,71,0.5211267605633803,1.013303226748912,0.687974816895039,-1764.7369491210438,68.79748168950891
SPY,S&P 500 ETF,stocks,5m,5,1.0,0.02,92,0.5760869565217391,1.2003101475066833,1.448063578125402,-231.87477343749197,144.80635781253022
QQQ,Nasdaq ETF,stocks,5m,5,1.0,0.02,91,0.5824175824175825,1.316734473195288,3.517249139648557,-279.22117851561416,351.7249139648775
MNQ=F,Micro Nasdaq,futures,5m,5,0.5,0.01,69,0.8405797101449275,2.8299944861443747,12.366227999999756,-114.00020000000222,1236.6227999999755
NQ=F,Nasdaq Futures,futures,5m,5,0.5,0.01,69,0.8695652173913043,4.039039526677844,14.784981999999799,-90.50020000000222,1478.49819999998
EURUSD=X,EUR/USD,forex,5m,5,0.5,0.01,96,0.8333333333333334,1.9417107578312949,1.153026429872607,-21.033588912583724,115.3026429872601
GC=F,Gold,commodities,5m,5,0.5,0.01,68,0.8970588235294118,3.5643982698760563,3.77747386914054,-41.701039453126214,377.747386914054
GLD,Gold ETF,commodities,5m,5,0.5,0.01,82,0.8536585365853658,2.247716443660769,3.69554397241227,-75.85264374999679,369.5543972412306
AAPL,Apple,stocks,5m,5,0.5,0.01,84,0.6785714285714286,1.0107897548145577,0.21978130407702337,-391.3155112426807,21.97813040769921
MSFT,Microsoft,stocks,5m,5,0.5,0.01,85,0.7647058823529411,1.437126872774169,5.077552699219014,-209.729202905266,507.7552699219
GOOGL,Google,stocks,5m,5,0.5,0.01,83,0.6265060240963856,0.7502834923451139,-6.514195051757906,-1313.0897395507873,-651.4195051757918
AMZN,Amazon,stocks,5m,5,0.5,0.01,83,0.6987951807228916,1.2420939596071114,4.1986095278318505,-468.80611859131653,419.86095278318624
TSLA,Tesla,stocks,5m,5,0.5,0.01,71,0.7887323943661971,1.832655535791686,13.217848774658378,-507.77532104491183,1321.7848774658382
SPY,S&P 500 ETF,stocks,5m,5,0.5,0.01,92,0.8478260869565217,3.039624966924822,4.760330808593862,-42.4836687499992,476.03308085938625
QQQ,Nasdaq ETF,stocks,5m,5,0.5,0.01,91,0.8241758241758241,2.358198311408453,6.234763355468749,-80.68682109374367,623.4763355468895
MNQ=F,Micro Nasdaq,futures,5m,5,0.5,0.02,69,0.8405797101449275,2.8299944861443747,12.366227999999756,-114.00020000000222,1236.6227999999755
NQ=F,Nasdaq Futures,futures,5m,5,0.5,0.02,69,0.8695652173913043,4.039039526677844,14.784981999999799,-90.50020000000222,1478.49819999998
EURUSD=X,EUR/USD,forex,5m,5,0.5,0.02,96,0.8333333333333334,1.9417107578312949,1.153026429872607,-21.033588912583724,115.3026429872601
GC=F,Gold,commodities,5m,5,0.5,0.02,68,0.8970588235294118,3.5643982698760563,3.77747386914054,-41.701039453126214,377.747386914054
GLD,Gold ETF,commodities,5m,5,0.5,0.02,82,0.8536585365853658,2.247716443660769,3.69554397241227,-75.85264374999679,369.5543972412306
AAPL,Apple,stocks,5m,5,0.5,0.02,84,0.6785714285714286,0.9691053237126863,-0.7205534145509227,-457.12057891845564,-72.05534145509492
MSFT,Microsoft,stocks,5m,5,0.5,0.02,85,0.7647058823529411,1.4874567939955536,5.676255685791276,-211.17390668944563,567.6255685791266
GOOGL,Google,stocks,5m,5,0.5,0.02,83,0.6265060240963856,0.719801949193644,-8.397187165283322,-1544.7514228637767,-839.7187165283327
AMZN,Amazon,stocks,5m,5,0.5,0.02,83,0.6987951807228916,1.222033909667113,4.294994066284034,-552.6835104248122,429.49940662840095
TSLA,Tesla,stocks,5m,5,0.5,0.02,71,0.7887323943661971,1.7656325492199079,19.38589741918979,-847.6861885742023,1938.5897419189723
SPY,S&P 500 ETF,stocks,5m,5,0.5,0.02,92,0.8478260869565217,3.039624966924822,4.760330808593862,-42.4836687499992,476.03308085938625
QQQ,Nasdaq ETF,stocks,5m,5,0.5,0.02,91,0.8241758241758241,2.358198311408453,6.234763355468749,-80.68682109374367,623.4763355468895
MNQ=F,Micro Nasdaq,futures,5m,15,2.0,0.01,40,0.475,1.5744114594927001,11.472456999999523,-377.5008000000089,1147.2456999999522
NQ=F,Nasdaq Futures,futures,5m,15,2.0,0.01,40,0.475,1.7498628399445868,14.074956999999522,-374.7508000000089,1407.4956999999522
EURUSD=X,EUR/USD,forex,5m,15,2.0,0.01,71,0.5070422535211268,1.270773058924824,1.2396882493763588,-75.91582044085942,123.96882493763823
GC=F,Gold,commodities,5m,15,2.0,0.01,49,0.4897959183673469,1.7476196481868531,5.25587494921845,-86.70297187500364,525.5874949218451
GLD,Gold ETF,commodities,5m,15,2.0,0.01,73,0.4794520547945205,1.5370571865502511,6.455391720215357,-227.60280268552333,645.5391720215537
AAPL,Apple,stocks,5m,15,2.0,0.01,78,0.21794871794871795,0.6233551601972442,-16.52206563037131,-1927.9204734130958,-1652.2065630371235
MSFT,Microsoft,stocks,5m,15,2.0,0.01,81,0.3333333333333333,1.0380066639133236,1.211555357422476,-840.7542815429479,121.15553574224202
GOOGL,Google,stocks,5m,15,2.0,0.01,73,0.2602739726027397,0.6565337354212911,-15.293221493408254,-2073.5367270263773,-1529.3221493408325
AMZN,Amazon,stocks,5m,15,2.0,0.01,72,0.3472222222222222,1.0873222795201538,3.508604054199131,-970.9388147949154,350.8604054199094
